x_rew
5,0,0
next
4,0,1
next
5,0,2
next
3,1,0
next
2,1,0
next
1,1,2
next
1,1,1
next
5,1,2
next
3,1,1
next
4,1,0
next
3,1,1
next
4,1,0
next
3,1,1
next
6,1,2
next
6,2,2
next
6,2,0
next
7,2,2
next
9,2,2
next
9,2,0
next
8,2,0
next
10,2,2
next
10,2,0
next
8,2,2
next
7,2,0
next
4,2,2
next
end
